#{"t_start": 1640660537.5527205, "env_id": null}
r,l,t
5.116111,1001,10.537812
2.44778,433,15.423787
0.099505,66,16.668424
1.325254,682,23.773418
2.327515,330,27.425649
-0.809476,938,37.138666
0.892347,250,40.35706
0.989825,198,43.001984
3.691088,573,49.926463
4.215315,591,56.856957
1.919901,541,62.80202
1.226267,245,66.168017
0.665859,135,68.371123
0.412198,312,72.135055
0.095702,80,73.48645
0.027318,25,74.392016
0.02004,21,75.364419
2.224804,403,79.949152
0.837988,131,81.742356
1.405749,396,85.969049
1.038429,195,88.199084
3.57429,1001,98.094615
-0.588292,536,103.697158
2.809362,667,109.735969
1.549633,382,117.320894
1.817625,685,140.782137
0.393019,715,164.049898
0.462613,112,168.076196
0.479785,77,171.052204
0.965627,239,179.415796
0.498601,71,182.258193
0.020085,19,183.407166
-0.004607,24,184.779448
0.476499,85,188.244181
0.028746,19,189.442974
0.039529,23,190.777405
0.75145,161,196.354486
0.325217,77,199.280661
0.018113,20,200.478482
-0.008284,45,202.519995
0.089855,73,205.378387
0.399827,61,207.958483
0.079395,25,209.305883
-0.11669,53,211.541931
0.068113,33,213.167513
0.070374,47,215.206104
0.084971,20,216.425798
0.4594,65,219.069764
0.0732,71,221.927082
0.077117,70,224.658776
0.688505,87,227.948985
0.068533,47,230.000487
0.049867,31,231.586281
1.392619,155,237.048635
0.09558,46,239.013377
0.526661,98,242.635569
0.770069,176,248.703338
0.193857,105,252.816337
-0.065952,20,254.054025
0.931886,192,260.623453
-0.165168,34,262.260075
0.27872,99,266.000071
-0.174292,100,269.736078
0.27411,56,272.026957
0.088545,91,275.35405
0.10663,66,277.995983
0.045057,33,279.584733
-0.034054,254,288.084996
0.078704,47,290.131521
0.333255,54,292.398458
-0.892666,182,298.667688
0.591109,159,304.096167
0.081151,178,310.210811
0.674827,170,316.193807
0.169697,229,324.265217
0.988392,357,335.965919
1.456822,640,356.512958
0.278327,84,359.758276
0.921474,367,371.905782
1.231482,294,381.718534
0.864701,1001,414.096925
1.139472,344,425.311926
-0.376359,698,448.259543
0.348641,201,455.817327
2.740922,1001,493.014827
-0.238889,1001,537.318318
-1.765761,1001,570.453684
-4.685975,745,594.763657
-0.496342,485,610.30708
0.497639,612,630.134045
0.368611,77,633.135017
6.036558,567,651.759199
4.201572,434,665.928298
3.71107,357,677.650941
10.396765,867,705.27106
7.092542,641,726.166167
-0.042869,37,727.91449
0.066721,39,729.70171
-2.024363,703,752.130714
2.955486,823,778.401442
2.305881,664,799.691493
-2.02078,313,810.067738
-0.19574,63,812.590988
-1.02516,180,818.809354
-0.181867,40,820.634473
-0.210666,51,822.768764
-0.000765,21,823.985509
-0.106982,90,827.357489
0.292474,85,830.581864
-0.198643,58,832.939558
0.064759,388,845.7463
-0.118653,227,853.443712
0.051549,89,856.783777
0.63125,197,863.471886
-0.353837,192,869.973495
-0.107794,82,873.075198
-1.29301,194,879.707458
-1.130643,138,884.50662
-0.622264,167,890.27519
0.475844,352,901.68866
-0.089136,58,904.073281
-1.040373,254,912.904658
-0.057651,48,915.033962
-0.638418,195,921.688163
-0.278851,53,923.893264
-0.164154,57,926.244974
-1.585268,284,935.6558
-0.967319,249,944.002475
0.097358,279,953.317557
-0.491557,52,955.531635
-0.231886,70,958.231413
0.078433,134,962.960763
-0.215195,53,965.149906
-0.133615,124,969.54116
-1.039177,184,975.985922
-0.563168,116,980.427042
-0.293191,57,982.735865
-0.717593,575,1001.270288
-1.43318,1001,1032.765042
-3.090488,732,1056.391842
2.261225,430,1070.438269
3.363897,258,1079.016324
3.16986,443,1093.497587
0.078738,153,1098.800404
2.08727,151,1104.08028
-0.419915,369,1116.525988
2.855277,302,1126.422516
2.921371,269,1135.321712
3.472654,254,1143.881814
1.484429,116,1148.066621
0.370445,110,1152.027026
0.455842,113,1156.052259
0.602838,78,1159.083152
0.195897,110,1163.000673
0.766369,101,1166.673848
0.286697,102,1170.41484
0.384153,56,1172.854317
0.292467,66,1175.625902
1.076051,116,1179.867555
0.42059,84,1183.054033
0.383888,74,1185.93744
0.25085,41,1187.76252
0.469584,71,1190.563029
0.248996,74,1193.465268
0.350504,93,1196.965953
0.261013,51,1199.127192
0.739823,147,1204.260428
0.239452,46,1206.296981
-6.339988,1001,1238.146748
-5.624332,1001,1270.162108
-8.551941,1001,1302.029867
-1.54203,580,1321.135826
-5.40809,511,1337.782231
-4.524523,720,1360.582244
-7.36474,739,1384.534174
5.949204,480,1400.100572
-0.019309,16,1401.179676
2.94745,267,1410.150653
0.063971,34,1411.816197
0.543016,172,1417.780242
0.282725,151,1423.027278
0.683641,151,1428.328029
1.136139,173,1434.301095
0.059456,39,1436.13315
1.677677,244,1444.613468
0.421086,126,1449.051662
0.529311,90,1452.429561
0.709604,98,1456.052868
3.641244,250,1464.548143
0.187513,375,1476.756488
1.283796,161,1482.335601
2.288682,192,1488.868089
0.563804,82,1491.977771
0.082093,61,1494.466179
-0.019842,17,1495.563182
5.276498,542,1513.240894
0.339983,81,1516.28176
0.950614,249,1524.583601
0.83326,353,1536.253339
6.262196,926,1565.808281
1.090733,185,1572.546257
4.022654,414,1586.085043
3.494118,456,1600.891436
0.439137,121,1605.310615
1.017013,262,1614.087139
1.23712,157,1619.552522
1.7683,229,1627.229984
1.110442,230,1635.219613
0.834686,154,1640.786722
1.990944,585,1659.581445
2.505966,281,1669.33735
-0.211535,168,1675.153793
1.696924,386,1688.293249
-0.237817,371,1700.6591
0.516995,98,1704.955609
0.606553,227,1713.552611
1.011437,297,1724.667879
-0.015547,16,1725.815809
-0.013484,18,1727.042527
0.077089,57,1729.623623
-0.039052,17,1730.804465
-0.060089,19,1732.07411
0.263027,457,1748.913025
-0.73307,202,1756.655317
-1.796435,1001,1792.216228
-1.976484,1001,1828.33863
-1.455874,1001,1864.844918
-0.406519,466,1881.904286
-0.751151,1001,1918.09847
-0.318499,187,1925.256323
3.525805,1001,1959.833833
-0.078161,81,1963.439187
0.093908,91,1967.432505
-0.238919,178,1974.334078
-0.087295,54,1976.829369
0.37313,291,1987.84291
-0.055056,20,1989.126476
0.852841,244,1998.440602
-0.244393,134,2003.721437
0.586961,425,2018.909809
3.177137,511,2037.72847
0.104953,66,2040.675588
-0.875684,127,2045.832825
0.16676,123,2050.783548
0.030402,72,2053.936116
-0.121276,371,2067.758143
-0.111757,108,2072.203287
1.037372,432,2088.020942
-1.045159,226,2097.06874
0.358724,265,2107.10091
-2.430131,470,2124.47144
-0.04673,16,2125.596472
-0.058823,50,2127.992064
-0.203864,70,2131.024945
-1.925461,589,2152.544348
0.028226,19,2153.801985
-0.610068,183,2161.276988
-0.736208,261,2171.392962
-1.372186,297,2182.60793
-0.63673,228,2191.323617
-6.234019,536,2211.090742
-0.209841,254,2220.851664
-2.222824,297,2232.456626
-5.850859,872,2263.409793
1.241946,247,2272.727901
4.047398,684,2297.884614
-0.025081,19,2299.11731
0.001388,22,2300.487643
0.020041,18,2301.728295
0.02913,19,2302.979945
3.961906,607,2324.164313
0.03124,20,2325.472811
0.002034,18,2326.709472
0.009934,23,2328.12871
1.845816,248,2337.569422
3.47455,505,2355.804644
3.776422,1001,2392.309032
7.252532,1001,2426.363904
-4.45292,989,2458.207724
-5.560011,1001,2490.986045
-4.935069,858,2518.599222
-0.942948,185,2525.075895
-0.144021,1001,2557.642745
-6.178438,1001,2590.065017
0.64181,268,2599.077945
1.022941,105,2602.975544
1.860269,161,2608.648311
1.222926,176,2614.712125
-0.001204,140,2619.791562
5.92596,401,2633.317322
1.111664,463,2648.499748
0.15625,188,2654.943474
2.141845,186,2661.347405
1.923169,184,2667.759229
5.667919,504,2684.254107
-0.701731,360,2696.596056
1.024277,122,2701.07009
1.371884,158,2706.628222
1.959497,195,2713.427037
-0.155531,189,2719.944637
1.465311,118,2724.226148
1.152466,111,2728.323248
-2.680592,508,2745.111284
1.400288,95,2748.755535
4.1397,277,2758.480522
1.718004,147,2763.701556
2.739304,241,2771.838817
2.687277,268,2780.898616
1.482427,128,2785.471323
2.577903,229,2793.322322
2.312606,403,2806.742463
0.45288,922,2836.577656
-1.92919,1001,2869.519501
-4.557203,707,2892.793247
-0.023787,223,2900.448804
-2.318519,539,2917.976953
0.552623,142,2923.029368
-0.968708,456,2937.945469
1.097073,328,2949.01785
0.863165,96,2952.758843
-5.062299,1001,2985.126263
1.1749,410,2998.678014
2.891964,312,3009.211865
8.872842,808,3035.676048
1.246771,105,3039.516775
3.055981,480,3055.176884
4.634155,486,3071.019506
1.362407,172,3077.013475
2.174034,237,3085.481821
7.792488,1001,3117.697649
-0.019223,21,3118.928354
2.099601,236,3126.939984
1.132058,127,3131.503717
2.507381,508,3148.333697
-0.075789,677,3170.327868
1.22028,292,3180.130646
2.204141,1001,3212.311602
-2.268335,882,3240.949959
-0.668746,346,3252.502057
-0.639902,286,3262.102378
-1.871692,388,3274.975941
-1.636513,1001,3307.418161
-1.032429,275,3316.63657
1.078545,414,3330.175331
-0.501878,733,3354.211991
0.029993,373,3366.506106
0.557665,116,3370.81857
0.776653,906,3399.852908
2.623106,514,3417.277297
1.479887,813,3443.562025
0.198578,233,3451.535659
-0.669751,364,3463.567476
-0.705351,206,3470.721339
0.050246,253,3479.53975
-0.8367,1001,3511.948061
0.778539,121,3516.368239
2.182188,201,3523.296704
-0.95116,1001,3555.921436
6.394672,1001,3588.235999
1.489265,235,3596.284533
6.922086,953,3627.405223
7.869825,1001,3659.807552
3.521411,528,3677.481276
7.08146,1001,3709.836727
6.868871,1001,3742.353782
3.26729,362,3754.376646
1.828061,226,3762.177719
2.660555,455,3777.227462
2.897499,421,3790.995633
6.666124,1001,3823.64131
0.617551,87,3826.941481
9.093825,1001,3859.317915
9.366117,1001,3891.993474
-0.254729,52,3894.216526
7.728075,745,3918.494584
2.225458,370,3930.782715
11.110831,1001,3963.433378
9.956441,1001,3995.802792
8.105782,1001,4028.751657
1.354504,253,4037.402516
4.4839,426,4051.56566
6.552317,1001,4084.536437
6.25739,1001,4116.987661
6.781734,1001,4149.711102
6.270403,1001,4181.967817
1.298975,217,4189.422875
6.186357,858,4217.738163
6.90752,1001,4250.325966
2.027881,430,4264.777347
0.792725,180,4271.130316
1.776359,336,4282.452031
0.176716,25,4283.842373
2.959303,345,4295.429317
8.260559,1001,4327.914422
1.277855,1001,4360.787527
0.465812,1001,4393.43217
6.673834,1001,4426.269369
4.120589,478,4442.102982
1.483496,200,4449.011526
4.013404,299,4459.083596
1.123908,134,4464.209844
3.935299,648,4485.409138
5.851886,651,4506.85577
0.737008,85,4510.172898
8.364565,1001,4543.18958
0.818505,74,4546.075897
1.178889,136,4550.982763
10.602244,1001,4583.433967
17.394107,1001,4616.340907
4.769926,680,4638.592387
1.38824,964,4670.479128
9.020632,1001,4702.831552
2.841959,184,4709.358095
14.002513,1001,4742.233156
8.4306,518,4759.302499
15.510622,1001,4791.947176
5.330659,346,4803.651874
15.942343,1001,4836.393286
3.13648,194,4843.170215
8.598177,571,4862.232169
4.422862,327,4873.236763
4.069585,301,4883.514243
4.961728,438,4898.15109
7.536748,563,4916.848078
12.952058,1001,4950.163987
1.942262,193,4957.122347
5.470207,360,4969.360648
3.428662,255,4978.141124
12.935274,1001,5011.194708
10.396011,1001,5044.033867
5.221253,1001,5077.158261
9.288301,818,5103.916684
10.304377,1001,5137.168739
11.390513,1001,5170.0438
1.046766,72,5172.900159
3.480231,358,5185.324924
0.96204,66,5188.062602
4.672636,477,5203.951161
12.666944,829,5231.338841
2.986621,299,5241.514622
9.59106,1001,5274.870399
3.148402,177,5281.073804
10.713285,935,5311.886386
6.963919,519,5329.536173
7.985115,447,5344.554998
13.663919,774,5370.023871
0.143478,20,5371.245604
5.417827,226,5379.14252
4.304153,222,5387.065286
6.70017,482,5403.991012
5.394414,218,5411.873926
10.094207,401,5425.512445
5.779643,277,5435.139694
4.510393,327,5446.55017
1.007264,63,5449.308791
10.227154,727,5473.4562
15.321531,806,5500.064025
18.047346,941,5531.317425
0.828556,63,5533.933427
10.06723,431,5548.465555
8.84531,286,5558.354104
15.036452,673,5580.974597
4.155226,193,5587.816296
6.9316,294,5597.988087
0.212353,30,5599.516001
5.581476,252,5608.22972
5.483403,298,5618.488287
4.297195,202,5625.596304
5.229086,328,5636.919947
10.514622,356,5649.568115
17.880475,917,5679.886085
12.771087,459,5695.27585
2.966066,141,5700.432058
16.941488,507,5717.691889
34.515501,1001,5750.710636
26.562669,720,5774.718349
37.850696,1001,5808.007303
38.805226,1001,5841.309223
11.013957,289,5851.334408
27.995538,753,5876.270719
40.796609,1001,5909.718237
31.318128,1001,5942.706993
17.997091,689,5965.543967
2.604723,105,5969.598064
31.080468,753,5994.934291
1.687287,77,5997.985131
3.143198,113,6002.20185
25.015912,715,6025.935366
17.052586,587,6046.016686
21.422624,576,6065.22826
2.104907,87,6068.623179
1.845827,75,6071.646094
8.059276,232,6079.678643
17.536115,498,6096.348053
2.529612,90,6099.901512
43.014634,1001,6133.416861
9.320829,253,6142.20635
9.78579,242,6150.675756
41.296262,1001,6184.462319
16.706636,370,6197.151416
31.61105,688,6220.204711
5.211078,137,6225.304071
3.837567,112,6229.467934
4.533844,130,6234.393757
10.874717,297,6244.758033
25.26717,514,6262.150512
5.040178,133,6267.082318
5.978326,161,6272.927683
3.67411,147,6278.29732
4.825941,145,6283.540296
9.813742,228,6291.569816
48.089693,1001,6325.004381
24.45034,613,6345.491581
1.190713,55,6347.835311
18.904908,352,6359.89605
3.411006,111,6364.100838
2.953999,90,6367.859748
37.831686,1001,6401.272371
4.489415,153,6406.878376
8.010355,225,6414.827116
12.81446,322,6425.915453
9.048348,325,6437.577259
2.320537,102,6441.421006
20.580722,542,6459.681161
12.008179,348,6471.652113
6.788421,170,6477.792687
11.935509,288,6487.742073
4.721206,162,6493.668221
10.127322,292,6504.161153
26.26142,627,6525.227802
8.180849,199,6532.342838
7.073431,167,6538.394583
7.465426,172,6544.521194
5.353565,206,6551.882504
4.148087,122,6556.489181
8.604345,302,6567.306245
26.892369,1001,6600.837552
18.201869,502,6617.85603
32.820472,801,6645.205871
42.060442,1001,6678.810981
43.344066,1001,6712.702323
44.104695,1001,6746.240613
33.714135,614,6767.321223
23.041337,386,6780.643587
16.760064,322,6791.877538
63.203192,1001,6825.449734
19.717253,359,6838.223565
62.763126,1001,6871.788781
14.766782,295,6882.15206
63.838154,1001,6916.009497
59.864404,1001,6949.54878
12.457663,257,6958.776098
60.941027,1001,6992.478945
11.973862,239,7000.910392
63.18734,1001,7034.83764
55.781158,1001,7068.267219
36.976603,614,7089.184308
59.261114,1001,7123.059684
66.519818,1001,7156.698673
64.304888,1001,7190.566079
64.649048,1001,7224.554201
47.215951,1001,7258.177293
48.28268,1001,7292.261054
39.863518,1001,7325.772417
61.661268,1001,7359.769477
58.370941,1001,7393.392536
50.443664,1001,7427.569118
58.855767,1001,7461.12043
63.980033,1001,7495.082525
45.661316,1001,7528.912034
60.60261,1001,7562.936023
38.898215,1001,7596.594988
56.236446,1001,7630.762634
58.290085,1001,7664.443499
64.307084,1001,7698.689895
64.379696,1001,7732.52838
60.370276,1001,7766.661077
52.78508,1001,7800.295109
54.007867,1001,7834.227342
63.753713,1001,7867.964099
59.226303,1001,7901.999086
59.999173,1001,7935.766733
60.519699,1001,7969.874498
58.405189,1001,8003.507532
57.343843,1001,8037.48764
64.618281,1001,8071.099729
60.230474,1001,8105.154636
61.877789,1001,8139.053957
68.807879,1001,8172.974224
60.373861,1001,8207.027135
61.83503,1001,8240.985361
58.881352,1001,8274.931498
60.449781,1001,8308.546579
66.484927,1001,8342.557603
63.284489,1001,8376.280427
64.145014,992,8410.008178
65.187487,1001,8443.597331
67.19875,1001,8477.325113
58.14836,827,8505.243433
69.211504,1001,8539.278393
27.23229,432,8554.251342
71.779341,1001,8587.713831
67.979905,1001,8621.864482
65.736314,1001,8655.648116
67.726316,1001,8689.90847
20.388995,340,8701.740881
60.231018,1001,8735.834621
73.765564,1001,8769.214334
74.504124,1001,8803.382936
69.712499,1001,8836.953201
68.194131,1001,8870.941225
70.745125,1001,8904.59221
56.378953,1001,8938.628166
59.479475,1001,8972.26021
65.557285,1001,9007.289504
59.729729,1001,9040.894614
71.595691,1001,9074.802948
73.762022,1001,9108.455892
77.319027,1001,9142.405118
75.29007,1001,9176.075046
75.978372,1001,9210.082659
80.159448,1001,9243.856318
78.105371,1001,9278.047894
76.007082,1001,9311.661943
74.170914,1001,9345.717882
77.582568,1001,9379.47062
73.33504,1001,9413.493553
73.045401,1001,9447.195463
74.682676,1001,9481.125642
76.164199,1001,9514.857412
77.163855,1001,9548.510395
77.155288,1001,9582.137839
78.256344,1001,9616.094727
78.027484,1001,9649.72697
82.210565,1001,9683.705143
80.236544,1001,9717.447824
77.502228,1001,9751.284315
71.608058,1001,9785.225524
75.284502,1001,9818.821657
75.126141,1001,9852.68009
76.136173,1001,9886.510597
78.172219,1001,9920.726072
78.031507,1001,9954.391021
77.652615,1001,9988.196594
76.988877,1001,10021.640609
75.700222,1001,10055.433217
80.064356,1001,10088.917649
79.33422,1001,10122.808992
77.298904,1001,10156.360246
80.318445,1001,10190.565749
79.407293,1001,10224.235685
81.148323,1001,10258.050234
77.970448,1001,10291.467845
82.912703,1001,10325.259455
80.398311,1001,10358.825668
79.888109,1001,10392.783834
80.164303,1001,10426.277242
82.472762,1001,10459.974105
79.75982,1001,10493.269045
83.520697,1001,10527.609187
79.242757,1001,10561.433709
81.991744,1001,10595.222328
83.469836,1001,10628.617646
83.801327,1001,10662.375346
79.200092,1001,10695.920617
76.653255,1001,10729.86083
76.430962,1001,10763.286419
78.24129,1001,10797.089
75.28627,1001,10830.565453
80.928191,1001,10864.357064
76.389391,1001,10897.96317
78.914035,1001,10931.93829
80.169272,1001,10965.562348
81.583946,1001,10999.51054
81.766102,1001,11033.490646
78.460872,1001,11067.420886
77.924158,1001,11101.456843
79.886043,1001,11135.218533
81.457455,1001,11169.305354
83.739042,1001,11202.958334
85.759141,1001,11236.958388
86.445415,1001,11270.67819
82.928883,1001,11304.727112
84.094832,1001,11338.274376
88.557103,1001,11372.358205
85.379392,1001,11406.159789
82.04804,1001,11440.192754
86.64287,1001,11473.909564
84.002219,1001,11508.009351
85.870879,1001,11541.65535
87.76424,1001,11575.756133
82.928951,1001,11609.704325
86.086786,1001,11643.822063
82.267456,1001,11677.690468
83.730686,1001,11711.592782
85.82479,1001,11745.28466
86.36492,1001,11779.284712
88.012498,1001,11813.145139
49.566276,651,11835.811508
83.8103,1001,11869.624062
84.413229,1001,11903.752771
85.719982,1001,11937.615192
80.767417,1001,11971.612252
78.658804,1001,12005.525538
84.793627,1001,12039.958433
42.531539,552,12058.825963
84.739509,1001,12093.058395
88.670339,1001,12126.908848
86.139891,1001,12161.188154
86.003824,1001,12195.14233
88.725554,1001,12229.520371
87.865972,1001,12263.226211
83.156699,1001,12297.564359
90.244082,1001,12331.432765
87.064398,1001,12365.739996
91.056831,1001,12399.762987
88.038381,1001,12434.024342
86.408183,1001,12468.028383
90.250205,1001,12502.341598
86.419265,1001,12536.232004
88.383149,1001,12570.493299
89.39058,1001,12605.369009
89.200506,1001,12639.715136
84.806155,1001,12673.569579
86.82669,1001,12707.823952
38.739645,486,12724.555197
84.038317,1001,12759.240417
89.401947,1001,12793.238475
84.5287,1001,12827.777086
83.54126,1001,12861.819028
78.207902,1001,12896.104317
78.852797,1001,12929.901912
89.855344,1001,12964.271977
85.145019,1001,12998.014717
91.049988,1001,13032.443623
95.230141,1001,13066.350923
