#{"t_start": 1639959926.4372768, "env_id": null}
r,l,t
0.416509,119,2.323755
0.266691,61,3.683119
1.314064,355,8.86426
1.282977,97,10.90181
1.506815,112,13.118879
4.421151,559,24.516392
0.038575,19,25.533382
1.171908,86,27.783445
2.597224,349,34.292831
0.77312,210,38.814821
1.369975,207,42.613036
2.976408,188,46.040076
1.502059,114,48.314398
1.731171,147,51.221941
0.230432,52,52.70658
0.063914,165,55.845
1.765111,165,59.175218
0.175267,161,62.392344
3.423559,743,74.974461
0.482663,78,76.844159
0.43181,53,78.276466
1.415473,131,83.269053
0.641646,127,85.801331
1.051199,103,88.206814
0.816126,77,90.243428
0.274862,111,92.507307
1.715701,137,95.014147
0.211335,276,99.658084
1.340655,157,102.688522
0.251734,72,104.420496
3.895464,456,111.833628
0.043195,74,113.719506
0.095041,23,114.974151
4.24298,389,121.895493
0.659934,105,124.053269
1.853966,187,127.445332
1.917063,294,132.648785
1.161695,202,136.619118
0.175829,23,137.603813
1.442513,143,140.241554
4.06096,460,147.574789
0.228466,48,148.951383
1.705387,323,153.863192
2.766965,171,157.073065
0.049328,23,158.038105
0.9345,317,164.868425
2.995801,378,170.826582
1.799602,186,173.966208
0.515612,92,175.884017
2.430799,201,179.324377
0.283115,72,181.004315
3.599229,335,186.353368
2.807985,296,191.79767
0.218981,68,193.609947
0.102804,22,194.639149
3.163951,750,205.405723
0.827935,76,207.085237
0.495735,208,210.529065
1.43541,171,213.667547
-0.316278,160,216.400918
2.105898,544,224.153861
4.071992,443,232.244777
10.155152,934,245.583546
1.148727,165,248.654183
0.067203,19,249.594691
1.64265,448,256.102795
3.287085,221,259.709629
1.257772,121,261.900877
4.350723,326,267.034114
0.387419,58,268.524444
3.635178,382,275.887903
6.043293,494,283.963367
2.790812,234,287.729759
0.543194,62,289.255707
1.079696,245,293.441276
2.720183,183,296.371516
1.172764,129,300.639916
2.896056,361,306.359212
0.514435,94,308.518013
2.250522,275,312.789824
3.022706,325,318.810507
2.010258,242,323.213038
-0.430375,358,328.540845
3.354353,457,334.871698
1.043245,87,336.58976
5.441592,565,345.060047
5.150237,528,352.580294
2.693402,425,358.926007
2.236364,225,362.350694
4.721738,440,370.501081
2.816278,234,373.947291
1.769767,169,376.860539
5.986033,511,383.565986
2.726418,322,387.989296
1.517721,105,389.904938
2.257462,284,394.320241
2.083948,169,397.033054
0.338297,50,398.206173
2.007133,163,400.873658
1.321849,139,403.379494
5.611819,539,411.235994
2.67943,204,414.330018
1.681007,159,416.746976
1.963139,186,419.562792
1.443971,161,422.241647
0.647045,52,423.902351
1.778377,160,427.49569
4.558074,417,436.933201
3.76155,244,441.262673
5.298,408,448.031217
1.32192,107,450.400351
3.76283,258,455.543181
2.645851,180,458.54718
0.292207,59,459.9095
1.922153,163,462.538467
2.57055,379,468.070669
4.613516,285,472.588585
1.65304,184,475.59953
2.417058,223,479.078225
1.482375,164,481.76803
3.694274,419,487.683208
7.457688,540,495.572106
3.4961,505,504.59497
2.57156,235,508.317014
3.02793,250,512.244511
0.508753,58,513.576944
4.301927,397,518.783018
1.424197,114,520.687925
0.863515,74,522.115106
7.093977,639,529.917235
6.019747,547,536.935462
4.248898,311,541.223991
2.057406,172,543.704357
1.883302,188,546.376209
0.114771,21,547.133185
4.463793,347,551.701963
